Astrocyte_Mito,Cell,Neuron_Micro,Cell_type
ABAT,Astrocyte,ADCY1,Neuron
ACAA2,Astrocyte,AP3B2,Neuron
ACADM,Astrocyte,APBA1,Neuron
ACADVL,Astrocyte,ATP2B1,Neuron
ACOX1,Astrocyte,ATP2B2,Neuron
ACSBG1,Astrocyte,BASP1,Neuron
ACSS1,Astrocyte,BSN,Neuron
AK4,Astrocyte,C3,Neuron
ALDH5A1,Astrocyte,CADM3,Neuron
ALDH6A1,Astrocyte,CADPS,Neuron
ALDOC,Astrocyte,CAMK4,Neuron
ALPL,Astrocyte,CCDC6,Neuron
APPL2,Astrocyte,CD200,Neuron
ASS1,Astrocyte,CNRIP1,Neuron
C4A,Astrocyte,CPLX1,Neuron
CAMK2G,Astrocyte,CPLX2,Neuron
CAPNS1,Astrocyte,CPNE4,Neuron
CAT,Astrocyte,CPNE5,Neuron
CD38,Astrocyte,CRMP1,Neuron
CD44,Astrocyte,DBN1,Neuron
CDC42EP4,Astrocyte,DIRAS2,Neuron
CDH2,Astrocyte,DLG2,Neuron
CLU,Astrocyte,DLG3,Neuron
CMBL,Astrocyte,DMTN,Neuron
CNN3,Astrocyte,DMXL2,Neuron
CPE,Astrocyte,DNAJC6,Neuron
CSRP1,Astrocyte,DNM1,Neuron
CTNND2,Astrocyte,DYNC1I1,Neuron
DAAM2,Astrocyte,EEF1A2,Neuron
DAG1,Astrocyte,EPHB2,Neuron
DBI,Astrocyte,GAP43,Neuron
DCLK2,Astrocyte,GDA,Neuron
DECR1,Astrocyte,GNAZ,Neuron
ECHDC1,Astrocyte,GNG2,Neuron
ENTPD2,Astrocyte,GPRIN1,Neuron
ETFA,Astrocyte,HPCA,Neuron
ETFDH,Astrocyte,HSPA12A,Neuron
EZR,Astrocyte,IGSF8,Neuron
F3,Astrocyte,KIF5C,Neuron
FABP5,Astrocyte,LMNA,Neuron
FHL1,Astrocyte,MADD,Neuron
FLNC,Astrocyte,MARK1,Neuron
FLOT2,Astrocyte,NAPB,Neuron
GFAP,Astrocyte,NCK2,Neuron
GJA1,Astrocyte,NECAB1,Neuron
GLUL,Astrocyte,NRN1,Neuron
GPD2,Astrocyte,NSF,Neuron
GSTM3,Astrocyte,NTNG2,Neuron
HADH,Astrocyte,PACSIN1,Neuron
HADHA,Astrocyte,PAK3,Neuron
HEPACAM,Astrocyte,PDE1A,Neuron
IGSF1,Astrocyte,PDXP,Neuron
IMMT,Astrocyte,PGM2L1,Neuron
ITGA2,Astrocyte,PIP4K2B,Neuron
ITGA6,Astrocyte,PPP3CB,Neuron
ITGA7,Astrocyte,PRKACB,Neuron
ITPKB,Astrocyte,PRKAR2B,Neuron
JAM2,Astrocyte,PRKCE,Neuron
LGALSL,Astrocyte,PRKCG,Neuron
MAOB,Astrocyte,RAB3A,Neuron
MAP2,Astrocyte,RAB3C,Neuron
MFGE8,Astrocyte,RGS17,Neuron
MLC1,Astrocyte,RGS7BP,Neuron
MYO6,Astrocyte,RUFY3,Neuron
NADK2,Astrocyte,SCAI,Neuron
NQO1,Astrocyte,SCN2B,Neuron
PACSIN3,Astrocyte,SGIP1,Neuron
PARVA,Astrocyte,SGTB,Neuron
PC,Astrocyte,SH3GL2,Neuron
PDGFRB,Astrocyte,SLC2A3,Neuron
PDLIM5,Astrocyte,SMPD3,Neuron
PLD2,Astrocyte,SNAP25,Neuron
PRDX6,Astrocyte,SNAP91,Neuron
PRODH,Astrocyte,SNCA,Neuron
SCP2,Astrocyte,SRGAP3,Neuron
SFXN1,Astrocyte,STMN1,Neuron
SFXN5,Astrocyte,STX1A,Neuron
SLC14A1,Astrocyte,STX1B,Neuron
SLC15A2,Astrocyte,STXBP1,Neuron
SLC1A2,Astrocyte,SULT4A1,Neuron
SLC1A3,Astrocyte,SYN1,Neuron
SLC25A18,Astrocyte,SYN2,Neuron
SLC39A12,Astrocyte,SYN3,Neuron
SLC7A11,Astrocyte,SYT1,Neuron
SLC9A3R1,Astrocyte,SYT3,Neuron
SNTB1,Astrocyte,SYT7,Neuron
SORCS2,Astrocyte,TUBB2A,Neuron
STON2,Astrocyte,TUBB3,Neuron
TAGLN,Astrocyte,UBE2O,Neuron
TNC,Astrocyte,UBQLN1,Neuron
TST,Astrocyte,UCHL1,Neuron
VCL,Astrocyte,VAMP2,Neuron
,,WDR47,Neuron
,,YWHAG,Neuron
