,Gene,Module,kME,Comparison
1,AAK1,black,0.907083452,PiD_vs_CTL
2,ABHD14B,turquoise,0.885303883,PiD_vs_CTL
3,ABI2,black,0.851996711,PiD_vs_CTL
4,ACOT7,black,0.837260978,PiD_vs_CTL
5,ACTR3B,black,0.855284901,PiD_vs_CTL
6,ADRBK1,black,0.843226934,PiD_vs_CTL
7,ALAD,turquoise,0.898932494,PiD_vs_CTL
8,AP2A1,black,0.983385048,PiD_vs_CTL
9,AP2A2,black,0.945267436,PiD_vs_CTL
10,AP2B1,black,0.964846765,PiD_vs_CTL
11,AP2M1,black,0.903911518,PiD_vs_CTL
12,AP3B2,black,0.956355916,PiD_vs_CTL
13,AP3D1,black,0.953874234,PiD_vs_CTL
14,AP3M2,black,0.836160401,PiD_vs_CTL
15,ARF1,black,0.879823362,PiD_vs_CTL
16,ARHGDIA,black,0.888976243,PiD_vs_CTL
17,ARHGEF7,black,0.888434489,PiD_vs_CTL
18,ARPP19,grey,0.075300928,PiD_vs_CTL
19,ATP2B1,black,0.860627425,PiD_vs_CTL
20,ATP2B3,black,0.849719796,PiD_vs_CTL
21,BAIAP2,black,0.922432093,PiD_vs_CTL
22,BSN,black,0.89706551,PiD_vs_CTL
23,C11orf54,green,0.577686205,PiD_vs_CTL
24,CADM3,black,0.837640998,PiD_vs_CTL
25,CADPS,black,0.965116105,PiD_vs_CTL
26,CAP2,black,0.88430697,PiD_vs_CTL
27,CCNY,black,0.881426874,PiD_vs_CTL
28,CLASP2,black,0.916714757,PiD_vs_CTL
29,CLIP2,black,0.897960556,PiD_vs_CTL
30,CLTB,black,0.955145869,PiD_vs_CTL
31,CNRIP1,black,0.911423397,PiD_vs_CTL
32,COPS5,black,0.853133484,PiD_vs_CTL
33,CORO1A,black,0.917205696,PiD_vs_CTL
34,CPLX2,black,0.870991815,PiD_vs_CTL
35,CPNE4,black,0.921472777,PiD_vs_CTL
36,CPNE5,black,0.872586355,PiD_vs_CTL
37,CTBP1,black,0.893962911,PiD_vs_CTL
38,CTSD,turquoise,0.908047572,PiD_vs_CTL
39,DLG2,black,0.894897821,PiD_vs_CTL
40,DLG3,black,0.926116416,PiD_vs_CTL
41,DLG4,black,0.936379462,PiD_vs_CTL
42,DNAJC6,black,0.934025906,PiD_vs_CTL
43,DNM1,black,0.947828658,PiD_vs_CTL
44,DNM1L,black,0.969052519,PiD_vs_CTL
45,DPP10,black,0.900178734,PiD_vs_CTL
46,DPP6,black,0.934174795,PiD_vs_CTL
47,DPYSL4,black,0.846766882,PiD_vs_CTL
48,EHD3,black,0.875388331,PiD_vs_CTL
49,EPHA4,black,0.938712632,PiD_vs_CTL
50,FSCN1,black,0.875678536,PiD_vs_CTL
51,FSD1,black,0.859611397,PiD_vs_CTL
52,GABBR1,black,0.87445097,PiD_vs_CTL
53,GABBR2,black,0.839599746,PiD_vs_CTL
54,GAS7,black,0.885063135,PiD_vs_CTL
55,GIT1,black,0.925374007,PiD_vs_CTL
56,GMPS,black,0.910756683,PiD_vs_CTL
57,GNAZ,black,0.947210428,PiD_vs_CTL
58,GNB5,black,0.858410189,PiD_vs_CTL
59,GNG4,grey,0.44271898,PSP_vs_CTL
60,GPR158,black,0.89864827,PiD_vs_CTL
61,GRM2,black,0.892257302,PiD_vs_CTL
62,GRM3,black,0.884670532,PiD_vs_CTL
63,HEBP2,pink,-0.814324789,PiD_vs_CTL
64,HGS,black,0.868931476,PiD_vs_CTL
65,HPCAL1,black,0.885488975,PiD_vs_CTL
66,HSPA12A,black,0.905231618,PiD_vs_CTL
67,ITGB1,turquoise,0.952674325,PiD_vs_CTL
68,KCTD16,black,0.977020572,PiD_vs_CTL
69,KIAA0513,black,0.969388119,PiD_vs_CTL
70,KIF21A,black,0.891183681,PiD_vs_CTL
71,KIF2A,black,0.938100638,PiD_vs_CTL
72,KIF5C,black,0.934869896,PiD_vs_CTL
73,KLC1,black,0.877549933,PiD_vs_CTL
74,LAMP2,turquoise,0.88719976,PiD_vs_CTL
75,LANCL2,black,0.926890278,PiD_vs_CTL
76,LAP3,turquoise,0.926592843,PiD_vs_CTL
77,LASP1,black,0.900539405,PiD_vs_CTL
78,LYN,grey,0.634091718,PSP_vs_CTL
79,LYN,grey,0.634091718,PiD_vs_CTL
80,MAP2K1,black,0.962386622,PiD_vs_CTL
81,MAP2K4,black,0.855406658,PiD_vs_CTL
82,MAPK10,black,0.859568947,PiD_vs_CTL
83,MAPRE2,black,0.928436778,PiD_vs_CTL
84,MAPRE3,black,0.969787653,PiD_vs_CTL
85,NAPB,black,0.96788319,PiD_vs_CTL
86,NCALD,black,0.885483543,PiD_vs_CTL
87,NSF,black,0.961148854,PiD_vs_CTL
88,OTUB1,black,0.930818801,PiD_vs_CTL
89,PACS1,black,0.932757838,PiD_vs_CTL
90,PACSIN1,black,0.889492807,PiD_vs_CTL
91,PAFAH1B1,black,0.895187191,PiD_vs_CTL
92,PAK1,black,0.837074669,PiD_vs_CTL
93,PALM,black,0.841360694,PiD_vs_CTL
94,PALM2,black,0.862240519,PiD_vs_CTL
95,PDE2A,black,0.925417993,PiD_vs_CTL
96,PDXP,black,0.860289817,PiD_vs_CTL
97,PFKM,green,-0.675234924,PiD_vs_CTL
98,PFKP,black,0.918011175,PiD_vs_CTL
99,PFN2,black,0.852066727,PiD_vs_CTL
100,PHYHIP,black,0.880006738,PiD_vs_CTL
101,PI4KA,black,0.857990475,PiD_vs_CTL
102,PIN1,black,0.941228004,PiD_vs_CTL
103,PIP4K2B,black,0.872990991,PiD_vs_CTL
104,PLCB1,black,0.852423425,PiD_vs_CTL
105,PLIN3,green,0.774181161,PiD_vs_CTL
106,PLXNA1,black,0.9436879,PiD_vs_CTL
107,PLXNA4,black,0.950681619,PiD_vs_CTL
108,PPFIA3,black,0.854098764,PiD_vs_CTL
109,PPP1CB,black,0.836828614,PiD_vs_CTL
110,PPP2R2A,black,0.930773957,PiD_vs_CTL
111,PPP2R5E,black,0.916696136,PiD_vs_CTL
112,PPP3CA,black,0.938443969,PiD_vs_CTL
113,PPP3CB,black,0.926399323,PiD_vs_CTL
114,PPP3R1,black,0.867761514,PiD_vs_CTL
115,PREP,black,0.921430773,PiD_vs_CTL
116,PSD3,black,0.894970516,PiD_vs_CTL
117,PTGDS,pink,-0.770458522,PiD_vs_CTL
118,PTPN11,black,0.920155277,PiD_vs_CTL
119,PTPRC,green,0.854431739,PiD_vs_CTL
120,PTPRD,black,0.948429014,PiD_vs_CTL
121,PTPRS,black,0.926010349,PiD_vs_CTL
122,PVRL1,black,0.905078088,PiD_vs_CTL
123,RAB10,grey,0.083326175,PiD_vs_CTL
124,RAB14,black,0.845967867,PiD_vs_CTL
125,RAB35,black,0.924941698,PiD_vs_CTL
126,RAB3A,black,0.942378423,PiD_vs_CTL
127,RAP1GAP,black,0.844801551,PiD_vs_CTL
128,RDX,turquoise,0.94159155,PiD_vs_CTL
129,RGS7,black,0.88512546,PiD_vs_CTL
130,ROCK2,black,0.972472222,PiD_vs_CTL
131,RPH3A,black,0.872192829,PiD_vs_CTL
132,RTN1,pink,0.90885335,PiD_vs_CTL
133,RUFY3,black,0.847189763,PiD_vs_CTL
134,SBF1,black,0.929051556,PiD_vs_CTL
135,SCAI,black,0.858445484,PiD_vs_CTL
136,SCN2A,black,0.960172588,PiD_vs_CTL
137,SEPTIN5,black,0.876126472,PiD_vs_CTL
138,SGIP1,black,0.933758783,PiD_vs_CTL
139,SH3GL1,black,0.879400154,PiD_vs_CTL
140,SH3GL2,black,0.943020738,PiD_vs_CTL
141,SH3GL3,black,0.955014772,PiD_vs_CTL
142,SLC8A1,black,0.863350375,PiD_vs_CTL
143,SLC8A2,black,0.924846098,PiD_vs_CTL
144,SNAP25,black,0.937075092,PiD_vs_CTL
145,SNAP91,black,0.9089587,PiD_vs_CTL
146,SOGA3,black,0.894442667,PiD_vs_CTL
147,STX1A,black,0.960339613,PiD_vs_CTL
148,STX1B,black,0.887130242,PiD_vs_CTL
149,STXBP1,black,0.992043409,PiD_vs_CTL
150,STXBP5,black,0.964813178,PiD_vs_CTL
151,STXBP5L,black,0.898869215,PiD_vs_CTL
152,SV2B,pink,0.872977013,PiD_vs_CTL
153,SYN1,black,0.87134963,PiD_vs_CTL
154,SYNJ1,black,0.913227166,PiD_vs_CTL
155,SYT1,black,0.847854688,PiD_vs_CTL
156,SYT3,black,0.867721557,PiD_vs_CTL
157,SYT7,black,0.971829127,PiD_vs_CTL
158,TCEB1,black,0.871003198,PiD_vs_CTL
159,TCEB2,black,0.886911072,PiD_vs_CTL
160,TESC,grey,0.19060989,PiD_vs_CTL
161,TIPRL,black,0.948145202,PiD_vs_CTL
162,TLN2,black,0.907796587,PiD_vs_CTL
163,TOLLIP,black,0.875781709,PiD_vs_CTL
164,TTC7B,black,0.907511304,PiD_vs_CTL
165,TWF2,black,0.893358628,PiD_vs_CTL
166,UBA1,black,0.88189845,PiD_vs_CTL
167,USP14,black,0.97292062,PiD_vs_CTL
168,USP7,black,0.96449438,PiD_vs_CTL
169,VAMP2,black,0.888758061,PiD_vs_CTL
170,VAT1,turquoise,0.95521577,PiD_vs_CTL
171,VCL,turquoise,0.944683766,PiD_vs_CTL
172,WDR47,black,0.963705369,PiD_vs_CTL
173,YWHAH,black,0.930788896,PiD_vs_CTL
