"","MEgreen","MEturquoise","MEblack","MEpink","MEgrey"
"riBAQ 17",-0.194586331294096,-0.130969632844683,0.0108918477854452,-0.105571782705688,-0.0553306127655852
"riBAQ 18",-0.11816122427807,-0.180785509180321,0.378226154832153,0.24543067109323,0.317875186637357
"riBAQ 35",-0.166624639491212,-0.183348113473615,0.413698284121694,0.131171601073832,0.227091875349945
"riBAQ 36",-0.174916145823206,-0.178274856059166,0.423498883956534,0.169886162869326,0.294747603030896
"riBAQ 19",-0.131390036885379,-0.106430553508734,0.0632497071216911,0.0406948198862995,0.0197354774388124
"riBAQ 20",0.204328991801089,-0.0976004505165527,0.0542718984174455,0.190519842180496,0.0656603649693057
"riBAQ 21",-0.00610663398883077,-0.0467966914652175,-0.0550783696871723,0.673705771982981,-0.167691242738601
"riBAQ 22",-0.102736720987599,-0.110449790450094,0.027292719968844,0.0948229903796347,-0.10851133231496
"riBAQ 23",-0.163027571687704,-0.117083950736916,-0.0302721587741479,-0.0585957394769929,-0.225622633972749
"riBAQ 37",-0.0579744637084335,-0.119025441508529,0.188313976626552,0.117982767371174,0.120115063920608
"riBAQ 38",-0.0462586287529692,-0.136351062294423,0.188638956556225,0.114710298350459,0.0890808707548643
"riBAQ 39",-0.144648289311397,-0.108205657154345,-0.127185670057131,-0.200115961004863,-0.313395132878832
"riBAQ 40",-0.152997876156991,-0.114205146274821,-0.198117185177238,-0.255999439694798,-0.552685765385864
"riBAQ 41",-0.21517460788591,-0.162517430946456,0.0175409954792068,-0.0670486081303484,-0.288193914439784
"riBAQ 24",0.0236491559397782,0.101908164039808,-0.249159163767319,-0.217727851530343,-0.142941461912038
"riBAQ 25",0.23799144678185,0.448504968487815,-0.277152951016081,-0.22554387101693,0.183341902650276
"riBAQ 26",0.169539727654087,0.370457142245516,-0.285184140480996,-0.24086781967673,0.162701677248966
"riBAQ 42",0.708884495156775,0.326868023868486,-0.272389576239172,-0.234015421748764,0.22153768139545
"riBAQ 43",0.330209352918219,0.544305987772247,-0.271084209666534,-0.173438430201974,0.152484393011931
